"","codp","cods","tipc","tip","um","fum","ecran","per","denumire"
"42",109,NA,1,NA,""," ","","3","PASTE FAINOASE  "
"43",109,10901,1,NA,"   PUNGA","1","A3","3","PASTE FAINOASE EXTRA DE DIFE-  RITE FORME: SCOICI, MELCI  ETC. (PUNGA DE 200-500 G) -"
"44",109,10902,1,NA,"   PUNGA","1","A3","3","TAITEI CU OU (PUNGA DE  200-400 G) "
"45",109,10905,1,NA,"  PACHET","2","A3","3","SPAGHETTI - IMPORT (PACHET  DE 500 G) "
"46",109,10906,1,NA,"  PACHET","1","A3","3","SPAGHETTI - INDIGENE (PACHET  DE 400-500 G) "
"47",109,10907,1,NA,"  PACHET","2","A3","3","MACAROANE (PACHET DE 500 G)  "
"48",110,NA,1,NA,""," ","","3","OREZ  "
"49",110,11001,1,NA,"    KG"," ","A3","3","OREZ CU BOB ROTUND, PREAMBALAT  "
"50",110,11002,1,NA,"    KG"," ","A3","3","OREZ CU BOB LUNG, PREAMBALAT  "
"51",110,11003,1,NA,"    KG"," ","A3","3","OREZ PREFIERT  "
"52",111,NA,1,NA,""," ","","3","GRIS, ARPACAS  "
"53",111,11101,1,NA,"   PUNGA","2","A3","3","GRIS PREAMBALAT (PUNGA 500 G)  "
"54",111,11102,1,NA,"    KG","2","A3","3","ARPACAS PREAMBALAT  "
"55",112,NA,1,NA,""," ","","3","ALTE PRODUSE DIN CEREALE  "
"56",112,11202,1,NA,"   PUNGA","2","A3","3","PESMET ALB (PUNGA DE 500 G)  "
"57",112,11203,1,NA,"   PUNGA","2","A3","3","FULGI DE PORUMB - INDIGENI  (PUNGA DE 150 G) "
"58",112,11204,1,NA,"   CUTIE","1","A3","3","CEREALE PENTRU MICUL DEJUN  NESTLE"" - CUTIE CARTON""  225-350 G"
"59",112,11205,1,NA,"   CUTIE","2","A3","3","MUSLI VITALIS (CUTIE 300 G)  "
"60",113,NA,1,NA,""," ","","3","LEGUME  "
"61",113,11301,1,1,"    KG"," ","A4","3","FASOLE USCATA  "
