nume,pret,sortimente,Date,RobotName,RobotVersion,Sortiment,Post cheltuieli
Ceapa verde,0.99 Lei/buc,Legume,20170803,cora,v1,,
Usturoi,15.99 Lei/kilogram,Legume,20170803,cora,v1,,
Telina radacina,5.29 Lei/kilogram,Legume,20170803,cora,v1,,
Cartofi rosii,1.29 Lei/kilogram,Legume,20170803,cora,v1,11402,113
Ardei iute,4.99 Lei/kilogram,Legume,20170803,cora,v1,,
Olympia Bors 1L,1.90 Lei/buc 1.90 litru,Legume,20170803,cora,v1,18516,185
Ciuperci Champignon kg,8.99 Lei/kilogram,Legume,20170803,cora,v1,12511,113
Pastarnac,3.49 Lei/kilogram,Legume,20170803,cora,v1,,
Ardei California rosu,9.99 Lei/kilogram,Legume,20170803,cora,v1,,
Legume mix supa 500g,2.99 Lei/buc 5.98 kilogram,Legume,20170803,cora,v1,,
Sfecla rosie kg,1.69 Lei/kilogram,Legume,20170803,cora,v1,11603,113
Cartofi albi la plasa de 5kg,6.99 Lei/buc 1.40 kilogram,Legume,20170803,cora,v1,,
Conopida kg,5.29 Lei/kilogram,Legume,20170803,cora,v1,,
Ciuperci champignon 500g,4.99 Lei/buc 9.98 kilogram,Legume,20170803,cora,v1,,
Telina frunze,1.99 Lei/buc,Legume,20170803,cora,v1,,
Broccoli kg,8.99 Lei/kilogram,Legume,20170803,cora,v1,,
Ceapa rosie,3.19 Lei/kilogram,Legume,20170803,cora,v1,,
Ghimbir 200g,2.99 Lei/buc 14.95 kilogram,Legume,20170803,cora,v1,,
Gulii,1.49 Lei/buc,Legume,20170803,cora,v1,,
Usturoi la Plasa 225g,4.99 Lei/buc 19.96 kilogram,Legume,20170803,cora,v1,,
"Ridichi rosii rotunde, legatura",1.49 Lei/buc,Legume,20170803,cora,v1,,
Rosii Cherry,7.99 Lei/kilogram,Legume,20170803,cora,v1,,
Ciuperci Champignon pentru grill 1kg,11.49 Lei/buc 11.49 kilogram,Legume,20170803,cora,v1,,
Cartofi rosii la plasa de 5kg,8.49 Lei/buc 1.70 kilogram,Legume,20170803,cora,v1,,
Fasole alba kg,6.99 Lei/kilogram,Legume,20170803,cora,v1,11301,113
Ciuperci Champignon 250g,2.99 Lei/buc 11.96 kilogram,Legume,20170803,cora,v1,,
Cartofi dulci,7.99 Lei/kilogram,Legume,20170803,cora,v1,,
Rosii Cherry 500g,4.99 Lei/buc 9.98 kilogram,Legume,20170803,cora,v1,,
Ciuperci Champignon Brune 500g,5.49 Lei/buc 10.98 kilogram,Legume,20170803,cora,v1,,
Ciuperci champignon 1kg,9.49 Lei/buc 9.49 kilogram,Legume,20170803,cora,v1,,
Praz,4.99 Lei/kilogram,Legume,20170803,cora,v1,,
Ciuperci pleurotus 500g,5.99 Lei/buc 11.98 kilogram,Legume,20170803,cora,v1,,
Cartofi albi pentru fiert sau salata 2.5Kg,4.99 Lei/buc 2.00 kilogram,Legume,20170803,cora,v1,,
Cartofi pentru prajit la plasa de 2.5kg,4.99 Lei/buc 2.00 kilogram,Legume,20170803,cora,v1,,
Varza rosie,1.49 Lei/kilogram,Legume,20170803,cora,v1,,
Rosii Roma la kg,8.49 Lei/kilogram,Legume,20170803,cora,v1,,
Ardei California galben,9.99 Lei/kilogram,Legume,20170803,cora,v1,,
Rosii Cherry 250g,2.69 Lei/buc 10.76 kilogram,Legume,20170803,cora,v1,,
Dovlecei zucchini,2.99 Lei/kilogram,Legume,20170803,cora,v1,,
Porumb pentru fiert,0.99 Lei/buc,Legume,20170803,cora,v1,,
Rosii Roma 500g,5.49 Lei/buc 10.98 kilogram,Legume,20170803,cora,v1,,
Rosii Coeur de Boeuf,8.99 Lei/kilogram,Legume,20170803,cora,v1,,
Vinete albe,3.29 Lei/kilogram,Legume,20170803,cora,v1,,
Apio,4.49 Lei/buc,Legume,20170803,cora,v1,,
Vladi Bors 1L,1.76 Lei/buc 1.76 litru,Legume,20170803,cora,v1,,
Ardei California mix 500g,6.99 Lei/buc 6.99 kilogram,Legume,20170803,cora,v1,,
Dovleac pentru placinta,3.29 Lei/kilogram,Legume,20170803,cora,v1,,
Andive 500g,5.99 Lei/buc 11.98 kilogram,Legume,20170803,cora,v1,,
Ardei verde la kg,9.99 Lei/kilogram,Legume,20170803,cora,v1,,
Ardei iute mixt 200g,4.99 Lei/buc 24.95 kilogram,Legume,20170803,cora,v1,,
Rosii Roma mix 500g,6.49 Lei/buc 12.98 kilogram,Legume,20170803,cora,v1,,
Morcovi ECO 500 g,5.69 Lei/buc 11.38 kilogram,Legume,20170803,cora,v1,,
Castraveti ECO 300 g,3.79 Lei/buc 12.63 kilogram,Legume,20170803,cora,v1,,
Cartofi rosii pentru salata 2.5 kg,4.99 Lei/buc 3.33 kilogram,Legume,20170803,cora,v1,,
Fasole rosie,9.99 Lei/kilogram,Legume,20170803,cora,v1,,
Rosii Cherry Tigrelli 250g,5.49 Lei/buc 21.96 kilogram,Legume,20170803,cora,v1,,
Rosii mini Roma 250g,3.99 Lei/buc 15.96 kilogram,Legume,20170803,cora,v1,,
Rosii ECO 500 g,7.49 Lei/buc 14.98 kilogram,Legume,20170803,cora,v1,,
Rosii Cherry Amestec Delicios 300g,5.99 Lei/buc 19.97 kilogram,Legume,20170803,cora,v1,,
Ardei kapia Eco 250gr,10.99 Lei/buc 43.96 kilogram,Legume,20170803,cora,v1,,
Fenicul,5.99 Lei/kilogram,Legume,20170803,cora,v1,,
Usturoi eco 90g,5.99 Lei/buc 66.56 kilogram,Legume,20170803,cora,v1,,
Rosii Cherry Galbene 250g,4.49 Lei/buc 17.96 kilogram,Legume,20170803,cora,v1,,
Rosii Cherry ECO 250 g,6.49 Lei/buc 25.96 kilogram,Legume,20170803,cora,v1,,
Ceapa galbena ECO 750 g,7.99 Lei/buc 10.65 kilogram,Legume,20170803,cora,v1,,
Ardei Charleston Eco 230g,9.99 Lei/buc 43.43 kilogram,Legume,20170803,cora,v1,,
Dovlecel eco 420g,7.99 Lei/buc 7.99 kilogram,Legume,20170803,cora,v1,,
Castraveti Eco 350g,8.99 Lei/buc 25.69 kilogram,Legume,20170803,cora,v1,,
Hribi Uscati 50g,16.99 Lei/buc 339.80 kilogram,Legume,20170803,cora,v1,,
Germalex germeni de grau 75g,2.99 Lei/buc 39.87 kilogram,Legume,20170803,cora,v1,,
Magia Padurii mixt ciuperci uscate 50g,14.99 Lei/buc 299.80 kilogram,Legume,20170803,cora,v1,,
Amestec de legume deshidratat Pirifan 200g,6.89 Lei/buc 34.45 kilogram,Legume,20170803,cora,v1,,
Germalex germeni de lucerna varza rosie broccoli 50g,4.99 Lei/buc 4.99 kilogram,Legume,20170803,cora,v1,,
Magia Padurii galbiori uscati 50g,15.99 Lei/buc 319.80 kilogram,Legume,20170803,cora,v1,,
Germalex lastari de ceapa rosie 50g,4.99 Lei/buc 99.80 kilogram,Legume,20170803,cora,v1,,
Germalex germeni mix 50g,4.99 Lei/buc 99.80 kilogram,Legume,20170803,cora,v1,,
Germalex germeni de ridichi 50g,4.39 Lei/buc 87.80 kilogram,Legume,20170803,cora,v1,,
Germalex germeni de lucerna 50g,3.49 Lei/buc 69.80 kilogram,Legume,20170803,cora,v1,,
Ferma Negru gogonele murate 500g,4.16 Lei/buc 8.32 kilogram,Legume,20170803,cora,v1,,
Magia Padurii trambita piticului 50g,9.99 Lei/buc 199.80 kilogram,Legume,20170803,cora,v1,,
Germalex germeni de broccoli 50g,5.99 Lei/buc 119.80 kilogram,Legume,20170803,cora,v1,,
Ferma Negru ardei iute in vid 150g,3.40 Lei/buc 22.67 kilogram,Legume,20170803,cora,v1,,
Patrunjel Radacina 200g,1.99 Lei/buc 9.95 kilogram,Legume,20170803,cora,v1,,
Dovleac pentru copt la kg,2.99 Lei/kilogram,Legume,20170803,cora,v1,,
Patrunjel/legatura,0.89 Lei/buc,Salate si verdeturi,20170803,cora,v1,,
Marar/legatura,0.99 Lei/buc,Salate si verdeturi,20170803,cora,v1,,
Salata verde,1.89 Lei/buc,Salate si verdeturi,20170803,cora,v1,12512,113
Leustean/legatura,0.99 Lei/buc,Salate si verdeturi,20170803,cora,v1,,
Baby Spanac 100g,5.49 Lei/buc 54.90 kilogram,Salate si verdeturi,20170803,cora,v1,,
Rucola 125g,4.99 Lei/buc 39.92 kilogram,Salate si verdeturi,20170803,cora,v1,,
Salata iceberg,3.49 Lei/buc,Salate si verdeturi,20170803,cora,v1,,
Menta proaspata 30g,5.49 Lei/buc 183.00 kilogram,Salate si verdeturi,20170803,cora,v1,,
Salata Lollo Bionda,1.99 Lei/buc,Salate si verdeturi,20170803,cora,v1,,
Eisberg Salata Bolero 180g,6.99 Lei/buc 38.83 kilogram,Salate si verdeturi,20170803,cora,v1,,
Eisberg Salata Mixta Romana 250g,7.29 Lei/buc 29.16 kilogram,Salate si verdeturi,20170803,cora,v1,,
Busuioc proaspat 30g,5.49 Lei/buc 183.00 kilogram,Salate si verdeturi,20170803,cora,v1,,
Eisberg Salata 220g,6.99 Lei/buc 31.77 kilogram,Salate si verdeturi,20170803,cora,v1,,
Eisberg Salata Endivia Mix 150g,6.59 Lei/buc 43.93 kilogram,Salate si verdeturi,20170803,cora,v1,,
Eisberg salata Bucur 200g,5.79 Lei/buc 28.95 kilogram,Salate si verdeturi,20170803,cora,v1,,
Valeriana 100g,5.99 Lei/buc 59.90 kilogram,Salate si verdeturi,20170803,cora,v1,,
Eisberg Salata Pikans 140g,6.99 Lei/buc 49.93 kilogram,Salate si verdeturi,20170803,cora,v1,,
Eisberg Misticanza salata 100g,6.49 Lei/buc 64.90 kilogram,Salate si verdeturi,20170803,cora,v1,,
Eisberg salata baby batavia,4.99 Lei/buc 49.90 kilogram,Salate si verdeturi,20170803,cora,v1,,
Menta proaspata in ghiveci,9.99 Lei/buc 9.99 kilogram,Salate si verdeturi,20170803,cora,v1,,
Menta proaspata la legatura,1.49 Lei/buc 1.49 kilogram,Salate si verdeturi,20170803,cora,v1,,
Salata Lollo Rossa,1.99 Lei/buc,Salate si verdeturi,20170803,cora,v1,,
Rozmarin proaspat 30g,5.49 Lei/buc 183.00 kilogram,Salate si verdeturi,20170803,cora,v1,,
